TOTEMPLOYEE,TOTVOLUNTEERS,TOTALREVPRIOR,TOTALREVCURRENT,SALARIESCURRENT
,,,28810,0
,,,18716,5760
0,,97377,175708,0
,,,183007,0
0,,87275,63430,0
0,30,140576,65999,0
,,,176512,0
2,,235928,338353,145611
,,,22673,0
43,,564334,1251997,987561
,,,145851,0
9,5,589484,605175,259130
,,,119264,0
9,10,84796,80711,34828
,,,111092,0
,,,156966,75901
,,,61942,40782
0,,32619,6308,0
0,,62355,207016,0
,,,94811,44710
,,,1260,0
,,,39536,0
0,,1303264,1362019,0
3,20,352559,353181,114911
,,,93572,0
,,,55845,5994
7,,155368,229709,74383
12,,551300,613071,285017
,,,142820,0
0,,10220,12880,0
,,,168987,113743
9,85,3136446,4517327,248113
,,,36512,0
,,,57431,20899
,,,103194,0
,,,102833,92960
,,,39774,0
,,,680,0
,,,175644,47450
,,,55000,0
,,,43449,0
,,,65734,14647
4,,0,285170,79649
12,,97951,79795,62038
6,,540858,466855,79795
0,0,755099,410489,90000
,,,71088,0
4,,164617,172849,147313
,,,0,0
2,5,56978,56548,47830
7,,722629,1864535,498079
,,,66906,0
,,,0,0
,,,21290,0
,,,190036,0
,,,23700,0
,,,70634,41634
,,,183054,96490
,,,12584,0
,,,72170,0
,,,53464,0
,,,79781,14476
,,,21180,0
,,,60972,0
0,11,161984,121008,0
,,,64572,0
0,20,110321,129097,0
0,0,30138,31,0
,,,8851,0
0,150,43029,40658,0
0,0,44255,30493,0
0,0,22040,175575,0
1,5,121083,173580,91376
,,,33311,21337
,,,97953,0
6,50,401918,414281,123506
3,45,214932,228826,96728
0,5,102479,290053,0
31,0,317804,846263,235782
0,,77651,43366,312
2,0,184114,224657,68573
0,7,211719,131875,0
,,,24349,0
0,0,0,724722,0
,,,16814,0
,,,0,0
0,20,139921,229470,3230
1,,250773,255364,22910
,,,44750,0
0,0,6147,30592,0
,,,44250,0
0,,0,267410,0
0,0,13568,11540,0
0,0,282716,180295,111337
0,,34402,29043,0
,,,37012,0
0,8,156929,371765,0
48,41,907798,985607,583779
0,,0,80852,0
0,,1192643,1233323,434846
,,,79537,12422
58,204,2690650,2933967,2202454
1,,151845,154335,34264
,,,179073,24117
,,,73209,0
,,,100409,56343
,,,35458,16000
2,,573426,651560,129737
7,10,1346087,1498552,536001
,,,63692,27565
0,2,90190,57261,2500
,,,52771,0
,,,70824,0
,,,108429,0
,,,2265,0
6,,209139,166385,57432
8,,210097,207621,104334
0,,1146246,1175401,672060
,,,51669,12000
,,,2633,0
,,,23000,0
,,,4075,0
,,,24484,0
,,,55516,0
0,,289040,318854,0
0,9,90138,97274,0
0,,88320,95726,19508
,,,22926,0
0,,1609416,2348040,35276
,,,71719,14064
,,,0,0
0,,51912,49311,7775
48,0,6464328,6647628,1958893
0,,171137,289650,227846
2,,77380,73427,17951
,,,74809,0
8,5,735242,774050,500874
,,,44690,0
,,,48929,0
17,,424111,261896,157500
0,10,234018,227118,890
15,,518799,550443,442403
,,,9973,0
0,50,528277,327389,0
